Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
Lenovo IdeaPad 5 AMD Ryzen 5 5500U|16GB|512GB|15.6,"Rs. 273,700.00",16GB Soldered DDR4-3200,"AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'","AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
HUAWEI MateBook D15|I5-1135G7|8GB|512GB|Iris Xe,"Rs. 251,850.00",8GB DDR4 3200MHZ,Intel® CoreTM i5-1135G7 Processor 'Base 2.4GHz; Up to 4.2GHz',Intel® CoreTM i5-1135G7 Processor 'Base 2.4GHz; Up to 4.2GHz',512 GB NVMe PCle SSD,512 GB NVMe PCle SSD
HP 255 G8 Ryzen 5 5500U|8GB|1TB|WIN 10,"Rs. 229,885.00",8 GB DDR4-2666 SDRAM '1 x 8 GB',"AMD Ryzen™ 5 5500U 'up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads'","AMD Ryzen™ 5 5500U 'up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads'","1 TB 5400 rpm SATA HDD ""Support M.2 NVMe""","1 TB 5400 rpm SATA HDD ""Support M.2 NVMe"""
Dell Vostro 3510 i3-1115G4|4GB|1TB|DOS,"Rs. 183,850.00",4GB 4Gx1 DDR4 2666MHz,"11th Generation Intel Core i3- 1115G4 Processor '6MB Cache, u p to 4.1 GHz'","11th Generation Intel Core i3- 1115G4 Processor '6MB Cache, u p to 4.1 GHz'","1TB 5400 rpm 2.5"" SATA Hard Drive","1TB 5400 rpm 2.5"" SATA Hard Drive"
Asus Vivobook 15 OLED M513UA R7-5700U|8GB|512GB|Win 10,"Rs. 297,850.00",8 GB DDR4 3200MHz SDRAM,"AMD Ryzen™ 7 5700U Mobile Processor '8-core/16-thread, 12MB cache, up to 4.3 GHz max boost'","AMD Ryzen™ 7 5700U Mobile Processor '8-core/16-thread, 12MB cache, up to 4.3 GHz max boost'",512GB PCIe® Gen3 SSD M.2,512GB PCIe® Gen3 SSD M.2
Asus Vivobook Flip 14 TP470 i5-1135G7|8GB|512 NVMe|Touch|Win 10,"Rs. 385,250.00",8GB LPDDR4X on board,"Intel® Core™ i5-1135G7 Processor 2.4 GHz '8M Cache, up to 4.2 GHz, 4 cores'","Intel® Core™ i5-1135G7 Processor 2.4 GHz '8M Cache, up to 4.2 GHz, 4 cores'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
HP PROBOOK 450 G8|I5-1135G7|8GB|512GB|IRIS X,"Rs. 281,750.00",8 GB DDR4-2666 SDRAM '8 GB x 1',"Intel® Core™ i5-1135G7 'up to 4.2 GHz with Intel® Turbo Boost Technology, 8 MB L3 cache, 4 cores'","Intel® Core™ i5-1135G7 'up to 4.2 GHz with Intel® Turbo Boost Technology, 8 MB L3 cache, 4 cores'",512 GB PCIe® NVMeM.2 SSD,512 GB PCIe® NVMeM.2 SSD
ASUS VivoBook S15 S533EQ i7-1165G7|8GB|512GB NVMe|MX350 2GB,"Rs. 287,350.00",8GB DDR4 on board,"Intel® Core™ i7-1165G7 Processor 2.8 GHz '12M Cache, up to 4.7 GHz, 4 cores'","Intel® Core™ i7-1165G7 Processor 2.8 GHz '12M Cache, up to 4.7 GHz, 4 cores'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
"MacBook Air 'M1, 2020' M1 8-Core CPU 7-core GPU|8GB|256GB|13.3-inch Retina","Rs. 253,900.00",8GB unified memoryConfigurable to 16GB,"Apple M1 chip

8-core CPU with 4 perform­ance cores and 4 efficiency cores
7-core GPU
16-core Neural Engine","Apple M1 chip

8-core CPU with 4 perform­ance cores and 4 efficiency cores
7-core GPU
16-core Neural Engine","256GB SSDConfigurable to 512GB SSD, 1TB, or 2TB","256GB SSDConfigurable to 512GB SSD, 1TB, or 2TB"
MSI GF63 THIN 11UC I5 -11400H|8GB|512GB|RTX3050,"Rs. 279,000.00",Intel® HM570,"Intel Core i5-11400H '12M Cache, up to 4.50 GHz, 6 Cores 12 Threads'","Intel Core i5-11400H '12M Cache, up to 4.50 GHz, 6 Cores 12 Threads'",8GB DDR4 3200Mhz,8GB DDR4 3200Mhz
ASUS Creator Q530 i7-13620H|16GB|512GB|RTX3050|15.6 OLED,"Rs. 359,000.00",16GB '8GB DDR5 on board + 8GB DDR4 3200mhz',"Intel® Core™ i7-13620H Processor 2.4 GHz '24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads'","Intel® Core™ i7-13620H Processor 2.4 GHz '24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
ASUS VivoBook 15 X1504ZA i7-1255U|8GB|1TB|DOS,"Rs. 239,000.00",8GB DDR4 on board,"Intel®Core™ i7-1255U Processor 1.7 GHz '12M Cache, up to 4.7 GHz, 10 cores'","Intel®Core™ i7-1255U Processor 1.7 GHz '12M Cache, up to 4.7 GHz, 10 cores'",1TB M.2 NVMe™ PCIe® 3.0 SSD,1TB M.2 NVMe™ PCIe® 3.0 SSD
HP 250 G10 i3-1315U|8GB|512GB|DOS,"Rs. 148,000.00",8 GB DDR4-3200 MHz RAM '1 x 8 GB',"Intel® Core™ i3-1315U 'up to 4.5 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads'","Intel® Core™ i3-1315U 'up to 4.5 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads'",512 GB PCIe® NVMe™ SSD,512 GB PCIe® NVMe™ SSD
Lenovo IdeaPad Slim 3 15IRU8 i3-1305U|8GB|256GB|15.6 FHD,"Rs. 132,800.00",8GB Soldered LPDDR5-4800,"Intel® Core™ i3-1305U, 5C '1P + 4E' / 6T, P-core 1.6 / 4.5GHz, E-core 1.2 / 3.3GHz, 10MB","Intel® Core™ i3-1305U, 5C '1P + 4E' / 6T, P-core 1.6 / 4.5GHz, E-core 1.2 / 3.3GHz, 10MB",256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
MSI Thin 15 B13UC i5-13420H|8GB|512GB|RTX3050|144hz,"Rs. 308,500.00","8GB DDR4-3200 2 slots, up to 64GB","Intel® Core™ i5-13420H Processor 12M Cache, up to 4.60 GHz","Intel® Core™ i5-13420H Processor 12M Cache, up to 4.60 GHz",512GB NVMe M.2 SSD by PCIe Gen4 x4,512GB NVMe M.2 SSD by PCIe Gen4 x4
Lenovo LOQ 15IRH8 i5-12450H|16GB|512GB|RTX2050|Win 11,"Rs. 299,000.00",16GB 2x 8GB SO-DIMM DDR5-4800,"Intel® Core™ i5-12450H, 8C '4P + 4E' / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB","Intel® Core™ i5-12450H, 8C '4P + 4E' / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
ASUS Vivobook 15 A1504VA I5-1335U|12GB|512GB|DOS,"Rs. 226,000.00",12GB '8GB DDR4 on board + 4GB DDR4 SO-DIMM',"Intel® Core™ i5-1335U Processor 1.3 GHz '12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads'","Intel® Core™ i5-1335U Processor 1.3 GHz '12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
ASUS Vivobook 16 X1605VA i7-13700H|8GB|512GB|16.0 WUXGA,"Rs. 289,000.00",8GB DDR4 on board upto 16GB,"Intel® Core™ i7-13700H Processor 2.4 GHz '24MB Cache, up to 5.0 GHz, 14 cores, 20 Threads'","Intel® Core™ i7-13700H Processor 2.4 GHz '24MB Cache, up to 5.0 GHz, 14 cores, 20 Threads'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
ASUS Vivobook 15 X1502Z I7-12700H|16GB|512GB|DOS,"Rs. 260,900.00",16GB '8GB DDR4 on board + 8GB DDR4 3200mhz',"Intel® Core™ i7-12700H Processor 2.3 GHz '24M Cache, up to 4.7 GHz, 6P+8E cores'","Intel® Core™ i7-12700H Processor 2.3 GHz '24M Cache, up to 4.7 GHz, 6P+8E cores'","15.6-inch, FHD '1920 x 1080' 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified, Non-touch screen, 'Screen-to-body ratio'82%","15.6-inch, FHD '1920 x 1080' 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified, Non-touch screen, 'Screen-to-body ratio'82%"
Lenovo LOQ 15IRH8 I7-13620H|16GB|512GB|RTX4050|Win 11,"Rs. 435,000.00",16GB 2x 8GB SO-DIMM DDR5-5200,"Intel® Core™ i7-13620H, 10C '6P + 4E' / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB","Intel® Core™ i7-13620H, 10C '6P + 4E' / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
Lenovo LOQ 15APH8 7 7840HS|8GB|512GB|RTX4050|Win 11,"Rs. 363,000.00",8GB SO-DIMM DDR5-5600,"AMD Ryzen™ 7 7840HS '8C / 16T, 3.8 / 5.1GHz, 8MB L2 / 16MB L3'","AMD Ryzen™ 7 7840HS '8C / 16T, 3.8 / 5.1GHz, 8MB L2 / 16MB L3'",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
MSI Sword 15 A12UCX I5-12450H|8GB|512GB|RTX 2050,"Rs. 307,000.00",8GB DDR5-4800,"Intel Core™ i5-12450H Processor '12M Cache, up to 4.40 GHz'","Intel Core™ i5-12450H Processor '12M Cache, up to 4.40 GHz'",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
MSI Sword 17 A12UCX I5-12450H|8GB|512GB|RTX 2050|17.3,"Rs. 318,000.00",8GB DDR5-4800,"Intel Core™ i5-12450H Processor '12M Cache, up to 4.40 GHz'","Intel Core™ i5-12450H Processor '12M Cache, up to 4.40 GHz'",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
MSI Cyborg 15 A12UCX I5-12450H|16GB|512GB|RTX 2050,"Rs. 334,000.00",16GB '8X2' DDR5-4800,"Intel® Core™ i5-12450H '12M Cache, up to 4.40Hz'","Intel® Core™ i5-12450H '12M Cache, up to 4.40Hz'",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
Aspire A515-58P i3-1305U|8GB|512GB|WIN 11,"Rs. 168,900.00",8GB LPDDR5,13th Gen Intel® Core™ i3-1305U upto 4.50Ghz 10MB Cache,13th Gen Intel® Core™ i3-1305U upto 4.50Ghz 10MB Cache,512GB PCIe NVMe M.2 SSD,512GB PCIe NVMe M.2 SSD
ASUS Vivobook Go 15 E1504FA R5-7520U|8GB|512GB NVMe|Win 11,"Rs. 199,900.00",8GB LPDDR5 on board,"AMD Ryzen™ 5 7520U Mobile Processor 2.8GHz '4-core/8-thread, 4MB cache, up to 4.3 GHz max boost'","AMD Ryzen™ 5 7520U Mobile Processor 2.8GHz '4-core/8-thread, 4MB cache, up to 4.3 GHz max boost'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
Dell Inspiron 5620 I7-1255U|16GB|512GB|16,"Rs. 318,900.00",16 GB '2 x 8GB' DDR4 3200MHz,"12th Gen Intel® Core™ i7-1255U '12 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo'","12th Gen Intel® Core™ i7-1255U '12 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo'",512GB M.2 PCIe NVMe Solid State Drive,512GB M.2 PCIe NVMe Solid State Drive
ASUS VIVOBOOK PRO 15 OLED 7 5800H|16GB|512GB|RTX3050,"Rs. 589,000.00",16GB DDR4 on board,"AMD Ryzen™ 7 5800H Mobile Processor '8-core/16-thread, 20MB cache, up to 4.4 GHz max boost'","AMD Ryzen™ 7 5800H Mobile Processor '8-core/16-thread, 20MB cache, up to 4.4 GHz max boost'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
DELL INSPIRON 3511 I3-1115G4|12GB|256GB|WIN 10,"Rs. 148,500.00",12GB '4+8' DDR4 3200MHz,"11th Generation Intel® Core™ i3-1115G4 Processor '6MB Cache, up to 4.1 GHz'","11th Generation Intel® Core™ i3-1115G4 Processor '6MB Cache, up to 4.1 GHz'",256GB M.2 PCIe NVMe Solid State Drive,256GB M.2 PCIe NVMe Solid State Drive
Lenovo IdeaPad Slim 3 R5 7520U|16GB|512GB|Win 11,"Rs. 209,000.00",16GB Soldered LPDDR5-5500,"AMD Ryzen™ 5 7520U '4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3'","AMD Ryzen™ 5 7520U '4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3'",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
Lenovo IdeaPad 3 15ITL6 I7-1165G7 |8GB|512GB|Iris® Xe|15.6,"Rs. 199,000.00",8GB Soldered DDR4-3200,"Intel® Core™ i7-1165G7 '4C / 8T, 2.8 / 4.7GHz, 12MB'","Intel® Core™ i7-1165G7 '4C / 8T, 2.8 / 4.7GHz, 12MB'",512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®,512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®
HP 15s-fq5486TU Core i3-1215U|4GB|256GB|Win 11,"Rs. 160,000.00",4 GB DDR4-3200 SDRAM,"Intel Core i3-1215U Processor '10M Cache, 3.30 GHz, up to 4.40 GHz'","Intel Core i3-1215U Processor '10M Cache, 3.30 GHz, up to 4.40 GHz'",256GB PCIe NVMe M.2 SSD,256GB PCIe NVMe M.2 SSD
ASUS VIVOBOOK 15 X1502ZA i7-1260P|8GB|512GB|Win 11,"Rs. 329,000.00",8GB DDR4 on board,"Intel® Core™ i7-1260P Processor 2.1 GHz '18M Cache, up to 4.7 GHz, 4P+8E cores'","Intel® Core™ i7-1260P Processor 2.1 GHz '18M Cache, up to 4.7 GHz, 4P+8E cores'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
Lenovo IdeaPad 5 15ITL05 i5-1135G7|16GB|512GB|MX450,"Rs. 258,000.00",16GB Soldered DDR4-3200,"Intel® Core™ i5-1135G7 '4C / 8T, 2.4 / 4.2GHz, 8MB'","Intel® Core™ i5-1135G7 '4C / 8T, 2.4 / 4.2GHz, 8MB'",512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®,512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®
Dell Vostro 3520 i5-1235U|8GB|512GB|DOS,"Rs. 269,900.00",8GB 8Gx1 DDR4 2666MHz,"12th Gen Intel® Core™ i5-1235U '12 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo'","12th Gen Intel® Core™ i5-1235U '12 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo'",512 GB M.2 PCIe NVMe SSD,512 GB M.2 PCIe NVMe SSD
DELL G15 Gaming G15 RYZEN 5 6600H|8GB|512GB|RTX3050,"Rs. 438,900.00",8GB 1x8GB DDR4 3200MHz,AMD Ryzen™ 5 6600H '19 MB total cache 6 cores 12 threads up to 4.50 GHz Max Boost Clock',AMD Ryzen™ 5 6600H '19 MB total cache 6 cores 12 threads up to 4.50 GHz Max Boost Clock',512GB M.2 PCIe NVMe Solid State Drive,512GB M.2 PCIe NVMe Solid State Drive
Dell Inspiron 5620 i5-1235U|8GB|256GB|16,"Rs. 285,000.00",8 GB '1 x 8GB' DDR4 3200MHz,"12th Gen Intel® Core™ i5-1235U '12 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo'","12th Gen Intel® Core™ i5-1235U '12 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo'",256GB M.2 PCIe NVMe Solid State Drive,256GB M.2 PCIe NVMe Solid State Drive
DELL Inspiron 14-5420 i7-1255U|8GB|512GB NVME|WIN11,"Rs. 387,000.00",8GB DDR4 3200MHz,"12th Gen Intel® Core™ i7-1255U '12 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo'","12th Gen Intel® Core™ i7-1255U '12 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo'",512GB M.2 PCIe NVMe Solid State Drive,512GB M.2 PCIe NVMe Solid State Drive
DELL Inspiron 14-5420 i5-1235U|8GB|512GB NVME|WIN11,"Rs. 349,000.00",8GB DDR4 3200MHz,"12th Generation Intel® Core™ i5-1235U '12MB Cache, up to 4.4 GHz'","12th Generation Intel® Core™ i5-1235U '12MB Cache, up to 4.4 GHz'",512GB M.2 PCIe NVMe Solid State Drive,512GB M.2 PCIe NVMe Solid State Drive
MSI BRAVO 15 B5ED AMD RYZEN 7 5800H|16GB|512GB|RX6500M 4GB|15.6 FHD IPS 144HZ,"Rs. 340,000.00",16GB DDR4 3200Mhz Max 64GB Max Capacity,AMD Ryzen™ 7 5800H-Processors Cores 8 Threads 16 Up to 4.4GHz,AMD Ryzen™ 7 5800H-Processors Cores 8 Threads 16 Up to 4.4GHz,512GB NVME M.2 SSD,512GB NVME M.2 SSD
ASUS VIVOBOOK 15 X1502ZA i5-1240P|8GB|512GB|WIN 11,"Rs. 299,000.00",8GB DDR4 on board,"Intel® Core™ i5-1240P Processor 1.7 GHz '12M Cache, up to 4.4 GHz, 4P+8E cores'","Intel® Core™ i5-1240P Processor 1.7 GHz '12M Cache, up to 4.4 GHz, 4P+8E cores'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
MSI Modern 15 - B12M i7-1255U|16GB|512GB|15.6 IPS,"Rs. 285,000.00",16GB DDR4-3200 onboard,"Intel® Core™ i7-1255U Alder Lake '12M Cache, up to 4.70GHz'","Intel® Core™ i7-1255U Alder Lake '12M Cache, up to 4.70GHz'",512GB M.2 SSD NVMe PCIe Gen3,512GB M.2 SSD NVMe PCIe Gen3
Lenovo IdeaPad Flex 5 Ryzen 5 5500U|8GB|512GB|14 IPS Touch,"Rs. 325,000.00",8GB Soldered DDR4-3200,"AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'","AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
